deal_id,property_id,listing_agent_id,buyer_agent_id,office_id,side,status,list_date,contract_date,close_date,cancellation_date,stage_at_cancellation,sale_price,commission_rate,agent_split,gci,lead_source,title_vendor,lender,escrow_company,has_home_warranty
DEAL-00056,PRP-00056,AGT-0050,AGT-0167,OFF-015,buyer,closed,2024-05-05,2024-06-10,2024-07-18,,,267747.77,0.0622,0.66,10991.58,sphere,In-House Title,Rocket Mortgage,Old Republic Escrow,False
DEAL-00057,PRP-00057,AGT-0223,AGT-0459,OFF-014,dual,closed,2025-06-04,2025-08-02,2025-09-08,,,239603.95,0.056,0.84,11270.97,zillow,Fidelity National,Cash / Unknown,Chicago Title Escrow,False
DEAL-00058,PRP-00058,AGT-0141,AGT-0215,OFF-006,listing,closed,2025-12-10,2026-01-26,2026-03-15,,,228991.18,0.0643,0.7,10306.89,realtor_com,Stewart Title,Wells Fargo,Old Republic Escrow,False
DEAL-00059,PRP-00059,AGT-0157,AGT-0217,OFF-021,buyer,appraisal,2024-09-08,2024-09-21,,,,302020.5,0.0522,0.77,,referral,Stewart Title,Rocket Mortgage,Old Republic Escrow,True
DEAL-00060,PRP-00060,AGT-0454,AGT-0368,OFF-007,dual,closed,2026-02-20,2026-04-05,2026-05-14,,,345299.45,0.0632,0.75,16367.19,past_client,Stewart Title,US Bank,Old Republic Escrow,False
DEAL-00061,PRP-00061,AGT-0275,AGT-0245,OFF-010,listing,closed,2024-03-23,2024-06-07,2024-07-21,,,329783.24,0.0546,0.78,14044.81,realtor_com,In-House Title,Chase,Old Republic Escrow,False
DEAL-00062,PRP-00062,AGT-0005,AGT-0428,OFF-012,dual,closed,2024-08-01,2024-08-18,2024-10-01,,,244270.02,0.0553,0.67,9050.45,zillow,First American Title,Chase,In-House Escrow,True
DEAL-00063,PRP-00063,AGT-0431,AGT-0193,OFF-023,dual,closed,2024-10-02,2024-10-09,2024-11-27,,,336995.59,0.0581,0.68,13314.02,open_house,In-House Title,Cash / Unknown,Old Republic Escrow,False
DEAL-00064,PRP-00064,AGT-0242,AGT-0058,OFF-012,dual,closed,2025-04-23,2025-06-25,2025-08-09,,,290149.89,0.0455,0.69,9109.26,brokerage_lead,Fidelity National,Wells Fargo,In-House Escrow,True
DEAL-00065,PRP-00065,AGT-0408,AGT-0476,OFF-003,listing,closed,2025-11-11,2026-02-04,2026-03-21,,,245572.11,0.0612,0.79,11872.92,brokerage_lead,In-House Title,Cash / Unknown,In-House Escrow,False
DEAL-00066,PRP-00066,AGT-0285,AGT-0415,OFF-015,dual,closed,2025-04-27,2025-05-08,2025-06-20,,,607498.97,0.05,0.7,21262.46,sign_call,In-House Title,Bank of America,In-House Escrow,False
DEAL-00067,PRP-00067,AGT-0148,AGT-0080,OFF-015,buyer,closed,2025-07-03,2025-08-05,2025-09-02,,,213338.39,0.0615,0.72,9446.62,social_media,In-House Title,Cash / Unknown,In-House Escrow,False
DEAL-00068,PRP-00068,AGT-0306,AGT-0023,OFF-016,listing,closed,2025-12-15,2026-02-18,2026-04-03,,,829246.44,0.0581,0.64,30834.7,referral,Stewart Title,Bank of America,In-House Escrow,False
DEAL-00069,PRP-00069,AGT-0424,AGT-0163,OFF-021,dual,closed,2024-03-31,2024-05-06,2024-06-21,,,447407.05,0.0491,0.73,16036.41,realtor_com,First American Title,Cash / Unknown,Old Republic Escrow,False
DEAL-00070,PRP-00070,AGT-0468,AGT-0136,OFF-019,dual,cancelled,2025-02-26,2025-03-16,,2025-05-10,Appraisal,,0.0473,0.8,,sphere,In-House Title,Cash / Unknown,In-House Escrow,True
DEAL-00071,PRP-00071,AGT-0131,AGT-0101,OFF-025,listing,cancelled,2025-11-04,2025-12-04,,2026-01-19,Inspection,,0.0584,0.72,,past_client,In-House Title,US Bank,In-House Escrow,True
DEAL-00072,PRP-00072,AGT-0070,AGT-0141,OFF-001,listing,closed,2025-08-24,2025-10-10,2025-10-24,,,250081.27,0.0511,0.64,8178.66,social_media,First American Title,Cash / Unknown,In-House Escrow,False
DEAL-00073,PRP-00073,AGT-0320,AGT-0334,OFF-004,dual,closed,2024-09-22,2024-10-23,2024-11-24,,,308772.47,0.0547,0.61,10302.81,sphere,In-House Title,Chase,Old Republic Escrow,False
DEAL-00074,PRP-00074,AGT-0308,AGT-0157,OFF-010,dual,inspection,2024-04-22,2024-06-28,,,,438128.64,0.0569,0.78,,brokerage_lead,In-House Title,US Bank,Old Republic Escrow,False
DEAL-00075,PRP-00075,AGT-0014,AGT-0398,OFF-021,buyer,cancelled,2024-03-26,2024-04-08,,2024-06-14,Contract,,0.0465,0.71,,open_house,In-House Title,US Bank,Old Republic Escrow,False
DEAL-00076,PRP-00076,AGT-0492,AGT-0187,OFF-007,buyer,cancelled,2024-12-04,2025-01-16,,2025-02-15,Financing,,0.0646,0.69,,sphere,First American Title,Wells Fargo,In-House Escrow,True
DEAL-00077,PRP-00077,AGT-0047,AGT-0367,OFF-024,buyer,title,2026-02-20,2026-03-25,,,,273403.46,0.0514,0.85,,social_media,In-House Title,Bank of America,Old Republic Escrow,False
DEAL-00078,PRP-00078,AGT-0323,AGT-0113,OFF-001,listing,closed,2025-08-06,2025-10-22,2025-11-07,,,846303.77,0.0565,0.65,31080.51,referral,Stewart Title,Rocket Mortgage,Chicago Title Escrow,True
DEAL-00079,PRP-00079,AGT-0069,AGT-0357,OFF-022,listing,closed,2024-12-12,2025-02-28,2025-04-05,,,293595.33,0.052,0.8,12213.57,open_house,In-House Title,Cash / Unknown,In-House Escrow,False
DEAL-00080,PRP-00080,AGT-0172,AGT-0348,OFF-017,buyer,closed,2025-01-06,2025-02-20,2025-04-04,,,285278.11,0.0559,0.79,12598.17,sphere,First American Title,Wells Fargo,Old Republic Escrow,False
DEAL-00081,PRP-00081,AGT-0092,AGT-0205,OFF-011,listing,listed,2025-03-05,,,,,,0.0506,0.62,,open_house,Stewart Title,Bank of America,Chicago Title Escrow,False
DEAL-00082,PRP-00082,AGT-0093,AGT-0183,OFF-009,buyer,closed,2026-02-20,2026-03-16,2026-04-22,,,393838.73,0.0594,0.88,20586.74,open_house,Fidelity National,Cash / Unknown,In-House Escrow,True
DEAL-00083,PRP-00083,AGT-0192,AGT-0116,OFF-009,buyer,cancelled,2025-09-10,2025-10-22,,2025-12-31,Inspection,,0.0607,0.69,,realtor_com,Fidelity National,Wells Fargo,In-House Escrow,True
DEAL-00084,PRP-00084,AGT-0217,AGT-0221,OFF-018,listing,closed,2025-12-02,2026-02-25,2026-03-16,,,159751.57,0.0582,0.77,7159.11,sign_call,Stewart Title,Cash / Unknown,In-House Escrow,True
DEAL-00085,PRP-00085,AGT-0025,AGT-0189,OFF-016,buyer,closed,2025-08-31,2025-11-10,2025-11-26,,,316110.68,0.0481,0.7,10643.45,referral,In-House Title,Wells Fargo,In-House Escrow,True
DEAL-00086,PRP-00086,AGT-0185,AGT-0375,OFF-025,dual,closed,2025-02-28,2025-03-28,2025-05-11,,,437356.59,0.0647,0.79,22354.61,sign_call,First American Title,Chase,In-House Escrow,True
DEAL-00087,PRP-00087,AGT-0346,AGT-0332,OFF-007,listing,closed,2025-03-17,2025-06-03,2025-07-02,,,456195.9,0.0565,0.73,18815.8,past_client,In-House Title,Cash / Unknown,Old Republic Escrow,False
DEAL-00088,PRP-00088,AGT-0217,AGT-0408,OFF-018,buyer,closed,2026-02-20,2026-04-18,2026-05-20,,,242285.83,0.0515,0.79,9857.4,zillow,Stewart Title,Cash / Unknown,Old Republic Escrow,False
DEAL-00089,PRP-00089,AGT-0258,AGT-0262,OFF-017,dual,listed,2024-04-08,,,,,,0.0613,0.74,,realtor_com,Stewart Title,Cash / Unknown,In-House Escrow,False
DEAL-00090,PRP-00090,AGT-0437,AGT-0242,OFF-009,listing,closed,2026-02-20,2026-04-09,2026-05-05,,,330052.43,0.0636,0.77,16163.33,realtor_com,Fidelity National,Rocket Mortgage,Chicago Title Escrow,True
DEAL-00091,PRP-00091,AGT-0326,AGT-0369,OFF-024,dual,listed,2024-06-17,,,,,,0.0596,0.73,,sign_call,In-House Title,US Bank,In-House Escrow,False
DEAL-00092,PRP-00092,AGT-0310,AGT-0448,OFF-012,dual,closed,2025-01-21,2025-02-23,2025-03-30,,,342982.65,0.0473,0.82,13302.93,social_media,Stewart Title,Wells Fargo,In-House Escrow,False
DEAL-00093,PRP-00093,AGT-0233,AGT-0114,OFF-021,dual,closed,2024-10-08,2024-12-31,2025-02-09,,,321216.14,0.0552,0.72,12766.41,past_client,Stewart Title,Wells Fargo,Old Republic Escrow,False
DEAL-00094,PRP-00094,AGT-0479,AGT-0151,OFF-016,buyer,closed,2024-10-30,2024-12-22,2025-01-25,,,267583.13,0.0465,0.74,9207.54,open_house,First American Title,Cash / Unknown,Chicago Title Escrow,False
DEAL-00095,PRP-00095,AGT-0276,AGT-0254,OFF-006,listing,cancelled,2024-06-24,2024-09-18,,2024-10-09,Appraisal,,0.0454,0.65,,past_client,Fidelity National,Chase,In-House Escrow,False
DEAL-00096,PRP-00096,AGT-0334,AGT-0412,OFF-017,buyer,closed,2025-06-20,2025-07-31,2025-09-04,,,201271.88,0.051,0.68,6980.11,zillow,First American Title,Wells Fargo,Old Republic Escrow,True
DEAL-00097,PRP-00097,AGT-0489,AGT-0104,OFF-008,listing,closed,2025-10-08,2025-11-28,2026-01-30,,,288195.06,0.0567,0.84,13726.15,brokerage_lead,In-House Title,Cash / Unknown,Chicago Title Escrow,False
DEAL-00098,PRP-00098,AGT-0161,AGT-0366,OFF-018,listing,pending_close,2024-05-07,2024-06-24,,,,262996.69,0.0544,0.75,,sign_call,Fidelity National,Chase,Old Republic Escrow,False
DEAL-00099,PRP-00099,AGT-0100,AGT-0202,OFF-002,dual,pending_close,2025-04-02,2025-06-23,,,,294782.65,0.0518,0.61,,brokerage_lead,In-House Title,Bank of America,Chicago Title Escrow,True
DEAL-00100,PRP-00100,AGT-0237,AGT-0355,OFF-019,buyer,closed,2024-06-04,2024-08-13,2024-09-24,,,323701.67,0.0603,0.68,13273.06,sign_call,Stewart Title,Wells Fargo,In-House Escrow,False
DEAL-00101,PRP-00101,AGT-0259,AGT-0336,OFF-015,buyer,closed,2024-07-19,2024-09-30,2024-11-01,,,417417.68,0.0584,0.61,14870.09,sphere,Fidelity National,Chase,Old Republic Escrow,False
DEAL-00102,PRP-00102,AGT-0398,AGT-0220,OFF-021,listing,closed,2024-09-03,2024-10-15,2024-11-25,,,540833.17,0.0527,0.71,20236.35,realtor_com,Stewart Title,Cash / Unknown,Chicago Title Escrow,False
DEAL-00103,PRP-00103,AGT-0296,AGT-0345,OFF-012,buyer,closed,2026-02-20,2026-05-18,2026-06-30,,,179222.56,0.0639,0.68,7787.58,sphere,In-House Title,Cash / Unknown,Old Republic Escrow,False
DEAL-00104,PRP-00104,AGT-0230,AGT-0435,OFF-005,dual,title,2025-08-07,2025-09-09,,,,376752.21,0.0596,0.71,,past_client,In-House Title,US Bank,Chicago Title Escrow,True
DEAL-00105,PRP-00105,AGT-0014,AGT-0286,OFF-021,dual,closed,2024-10-22,2025-01-08,2025-02-06,,,147643.61,0.0608,0.78,7001.85,realtor_com,Stewart Title,Bank of America,In-House Escrow,False
DEAL-00106,PRP-00106,AGT-0374,AGT-0149,OFF-016,listing,title,2024-07-21,2024-10-14,,,,293921.83,0.057,0.78,,sign_call,In-House Title,Wells Fargo,Old Republic Escrow,False
DEAL-00107,PRP-00107,AGT-0427,AGT-0477,OFF-017,buyer,closed,2026-02-20,2026-04-06,2026-06-13,,,234592.38,0.0568,0.63,8394.65,zillow,In-House Title,US Bank,Chicago Title Escrow,False
DEAL-00108,PRP-00108,AGT-0119,AGT-0109,OFF-022,dual,closed,2024-10-02,2024-10-18,2024-11-14,,,252693.82,0.064,0.74,11967.58,referral,In-House Title,Bank of America,Chicago Title Escrow,False
DEAL-00109,PRP-00109,AGT-0367,AGT-0030,OFF-006,buyer,closed,2026-02-20,2026-05-20,2026-06-18,,,299236.89,0.054,0.83,13411.8,past_client,In-House Title,Rocket Mortgage,Chicago Title Escrow,False
DEAL-00110,PRP-00110,AGT-0366,AGT-0494,OFF-001,dual,closed,2025-12-30,2026-03-12,2026-04-11,,,489972.45,0.049,0.84,20167.27,sign_call,Stewart Title,Wells Fargo,In-House Escrow,False
DEAL-00111,PRP-00111,AGT-0440,AGT-0146,OFF-010,dual,cancelled,2024-07-15,2024-09-18,,2024-10-17,Contract,,0.0502,0.68,,brokerage_lead,First American Title,Wells Fargo,In-House Escrow,True
DEAL-00112,PRP-00112,AGT-0276,AGT-0075,OFF-006,listing,listed,2025-09-25,,,,,,0.0553,0.65,,brokerage_lead,Fidelity National,Wells Fargo,Old Republic Escrow,False
DEAL-00113,PRP-00113,AGT-0435,AGT-0474,OFF-006,listing,closed,2026-02-20,2026-05-08,2026-06-21,,,255153.41,0.0529,0.69,9313.35,brokerage_lead,Fidelity National,Chase,In-House Escrow,False
DEAL-00114,PRP-00114,AGT-0170,AGT-0119,OFF-004,buyer,closed,2026-02-20,2026-03-29,2026-05-06,,,146042.0,0.056,0.74,6051.98,sphere,Fidelity National,Rocket Mortgage,Chicago Title Escrow,False
DEAL-00115,PRP-00115,AGT-0325,AGT-0368,OFF-006,dual,closed,2025-03-11,2025-05-24,2025-06-14,,,391260.69,0.0556,0.62,13487.54,social_media,In-House Title,Rocket Mortgage,Chicago Title Escrow,False
DEAL-00116,PRP-00116,AGT-0376,AGT-0422,OFF-007,listing,pending_close,2026-02-20,2026-03-25,,,,1160516.99,0.0545,0.87,,brokerage_lead,In-House Title,Bank of America,Chicago Title Escrow,True
DEAL-00117,PRP-00117,AGT-0221,AGT-0134,OFF-010,dual,pending_close,2025-08-05,2025-09-15,,,,298370.74,0.0509,0.72,,referral,In-House Title,Wells Fargo,Chicago Title Escrow,False
DEAL-00118,PRP-00118,AGT-0147,AGT-0343,OFF-016,buyer,closed,2026-01-07,2026-01-29,2026-02-27,,,414248.37,0.0517,0.73,15634.15,brokerage_lead,In-House Title,Wells Fargo,Old Republic Escrow,True
DEAL-00119,PRP-00119,AGT-0343,AGT-0341,OFF-015,dual,pending_close,2024-09-26,2024-10-24,,,,354443.59,0.0606,0.73,,past_client,Fidelity National,Rocket Mortgage,In-House Escrow,False
DEAL-00120,PRP-00120,AGT-0308,AGT-0474,OFF-010,listing,title,2024-12-06,2025-01-05,,,,355012.93,0.0587,0.78,,sphere,Fidelity National,Wells Fargo,Old Republic Escrow,True
DEAL-00121,PRP-00121,AGT-0107,AGT-0374,OFF-007,dual,closed,2026-02-20,2026-05-03,2026-06-08,,,287033.6,0.0617,0.74,13105.38,zillow,Stewart Title,Wells Fargo,Old Republic Escrow,False
DEAL-00122,PRP-00122,AGT-0041,AGT-0318,OFF-022,dual,closed,2025-01-04,2025-02-22,2025-04-04,,,355168.04,0.0485,0.63,10852.16,social_media,Fidelity National,US Bank,Chicago Title Escrow,False
DEAL-00123,PRP-00123,AGT-0210,AGT-0213,OFF-025,buyer,closed,2025-06-13,2025-06-21,2025-08-14,,,342705.33,0.0592,0.74,15013.24,open_house,In-House Title,Chase,In-House Escrow,False
DEAL-00124,PRP-00124,AGT-0097,AGT-0325,OFF-016,listing,closed,2025-08-28,2025-09-05,2025-09-28,,,497580.8,0.0557,0.71,19677.83,open_house,Stewart Title,US Bank,Old Republic Escrow,False
