client_id,type
CLT-00106,buyer
CLT-00107,seller
CLT-00108,seller
CLT-00109,seller
CLT-00110,buyer
CLT-00111,seller
CLT-00112,seller
CLT-00113,seller
CLT-00114,seller
CLT-00115,seller
CLT-00116,buyer
CLT-00117,buyer
CLT-00118,buyer
CLT-00119,seller
CLT-00120,buyer
CLT-00121,seller
CLT-00122,buyer
CLT-00123,buyer
CLT-00124,buyer
CLT-00125,buyer
CLT-00126,seller
CLT-00127,seller
CLT-00128,buyer
CLT-00129,buyer
CLT-00130,seller
CLT-00131,buyer
CLT-00132,seller
CLT-00133,seller
CLT-00134,buyer
CLT-00135,buyer
CLT-00136,buyer
CLT-00137,seller
CLT-00138,seller
CLT-00139,buyer
CLT-00140,buyer
CLT-00141,buyer
CLT-00142,buyer
CLT-00143,buyer
CLT-00144,seller
CLT-00145,seller
CLT-00146,buyer
CLT-00147,buyer
CLT-00148,seller
CLT-00149,seller
CLT-00150,seller
CLT-00151,seller
CLT-00152,buyer
CLT-00153,buyer
CLT-00154,seller
CLT-00155,seller
CLT-00156,buyer
CLT-00157,buyer
CLT-00158,buyer
CLT-00159,buyer
CLT-00160,buyer
CLT-00161,buyer
CLT-00162,seller
CLT-00163,seller
CLT-00164,buyer
CLT-00165,seller
CLT-00166,buyer
CLT-00167,seller
CLT-00168,buyer
CLT-00169,seller
CLT-00170,seller
CLT-00171,seller
CLT-00172,buyer
CLT-00173,seller
CLT-00174,seller
CLT-00175,buyer
CLT-00176,seller
CLT-00177,seller
CLT-00178,buyer
CLT-00179,seller
CLT-00180,seller
CLT-00181,buyer
CLT-00182,seller
CLT-00183,buyer
CLT-00184,buyer
CLT-00185,buyer
CLT-00186,seller
CLT-00187,seller
CLT-00188,seller
CLT-00189,buyer
CLT-00190,seller
CLT-00191,buyer
CLT-00192,seller
CLT-00193,buyer
CLT-00194,seller
CLT-00195,seller
CLT-00196,seller
CLT-00197,seller
CLT-00198,buyer
CLT-00199,buyer
CLT-00200,buyer
CLT-00201,seller
CLT-00202,seller
CLT-00203,seller
CLT-00204,seller
CLT-00205,seller
CLT-00206,seller
CLT-00207,seller
CLT-00208,buyer
CLT-00209,buyer
CLT-00210,seller
CLT-00211,seller
CLT-00212,seller
CLT-00213,buyer
CLT-00214,seller
CLT-00215,seller
CLT-00216,seller
CLT-00217,seller
CLT-00218,seller
CLT-00219,buyer
CLT-00220,buyer
CLT-00221,buyer
CLT-00222,seller
CLT-00223,buyer
CLT-00224,seller
CLT-00225,seller
CLT-00226,seller
CLT-00227,seller
CLT-00228,buyer
CLT-00229,buyer
CLT-00230,seller
CLT-00231,seller
CLT-00232,buyer
CLT-00233,seller
CLT-00234,buyer
CLT-00235,seller
CLT-00236,buyer
CLT-00237,buyer
CLT-00238,seller
CLT-00239,buyer
CLT-00240,seller
CLT-00241,buyer
CLT-00242,buyer
CLT-00243,buyer
CLT-00244,seller
CLT-00245,seller
CLT-00246,buyer
CLT-00247,seller
CLT-00248,buyer
CLT-00249,buyer
CLT-00250,buyer
CLT-00251,seller
CLT-00252,seller
CLT-00253,seller
CLT-00254,buyer
CLT-00255,seller
CLT-00256,buyer
CLT-00257,seller
CLT-00258,buyer
CLT-00259,buyer
CLT-00260,seller
CLT-00261,buyer
CLT-00262,buyer
CLT-00263,seller
CLT-00264,seller
CLT-00265,seller
CLT-00266,seller
CLT-00267,buyer
CLT-00268,buyer
CLT-00269,buyer
CLT-00270,buyer
CLT-00271,buyer
CLT-00272,seller
CLT-00273,seller
CLT-00274,seller
CLT-00275,seller
CLT-00276,buyer
CLT-00277,buyer
CLT-00278,buyer
CLT-00279,seller
CLT-00280,buyer
CLT-00281,seller
CLT-00282,seller
CLT-00283,buyer
CLT-00284,buyer
CLT-00285,buyer
CLT-00286,seller
CLT-00287,seller
CLT-00288,seller
CLT-00289,seller
CLT-00290,buyer
CLT-00291,seller
CLT-00292,seller
CLT-00293,buyer
CLT-00294,buyer
CLT-00295,seller
CLT-00296,seller
CLT-00297,buyer
CLT-00298,seller
CLT-00299,seller
CLT-00300,buyer
CLT-00301,buyer
CLT-00302,seller
CLT-00303,buyer
CLT-00304,seller
CLT-00305,seller
CLT-00306,buyer
CLT-00307,seller
CLT-00308,seller
CLT-00309,seller
CLT-00310,seller
CLT-00311,seller
CLT-00312,buyer
CLT-00313,seller
CLT-00314,buyer
CLT-00315,buyer
CLT-00316,seller
CLT-00317,seller
CLT-00318,seller
CLT-00319,seller
CLT-00320,seller
CLT-00321,seller
CLT-00322,buyer
CLT-00323,buyer
CLT-00324,buyer
CLT-00325,seller
CLT-00326,seller
CLT-00327,buyer
CLT-00328,seller
CLT-00329,buyer
CLT-00330,seller
CLT-00331,buyer
CLT-00332,seller
CLT-00333,buyer
CLT-00334,seller
CLT-00335,seller
CLT-00336,seller
CLT-00337,seller
CLT-00338,seller
CLT-00339,buyer
CLT-00340,buyer
CLT-00341,buyer
CLT-00342,buyer
CLT-00343,seller
CLT-00344,buyer
CLT-00345,buyer
CLT-00346,buyer
CLT-00347,buyer
CLT-00348,buyer
CLT-00349,buyer
CLT-00350,buyer
CLT-00351,seller
CLT-00352,buyer
CLT-00353,buyer
CLT-00354,buyer
CLT-00355,buyer
CLT-00356,seller
CLT-00357,buyer
CLT-00358,buyer
CLT-00359,buyer
CLT-00360,buyer
CLT-00361,buyer
CLT-00362,buyer
CLT-00363,seller
CLT-00364,buyer
CLT-00365,seller
CLT-00366,seller
CLT-00367,buyer
CLT-00368,seller
CLT-00369,buyer
CLT-00370,seller
CLT-00371,seller
CLT-00372,buyer
CLT-00373,buyer
CLT-00374,buyer
CLT-00375,buyer
CLT-00376,seller
CLT-00377,seller
CLT-00378,seller
CLT-00379,seller
CLT-00380,buyer
CLT-00381,buyer
CLT-00382,buyer
CLT-00383,buyer
CLT-00384,buyer
CLT-00385,buyer
CLT-00386,seller
CLT-00387,buyer
CLT-00388,buyer
CLT-00389,seller
CLT-00390,buyer
CLT-00391,seller
CLT-00392,seller
CLT-00393,seller
CLT-00394,buyer
CLT-00395,seller
CLT-00396,seller
CLT-00397,buyer
CLT-00398,buyer
CLT-00399,buyer
CLT-00400,buyer
CLT-00401,seller
CLT-00402,buyer
CLT-00403,seller
CLT-00404,buyer
CLT-00405,seller
CLT-00406,buyer
CLT-00407,buyer
CLT-00408,buyer
CLT-00409,buyer
CLT-00410,buyer
CLT-00411,buyer
CLT-00412,seller
CLT-00413,seller
CLT-00414,buyer
CLT-00415,buyer
CLT-00416,buyer
CLT-00417,seller
CLT-00418,buyer
CLT-00419,seller
CLT-00420,buyer
CLT-00421,buyer
CLT-00422,seller
CLT-00423,seller
CLT-00424,buyer
CLT-00425,buyer
CLT-00426,seller
CLT-00427,seller
CLT-00428,buyer
CLT-00429,buyer
CLT-00430,buyer
CLT-00431,buyer
CLT-00432,buyer
CLT-00433,buyer
CLT-00434,seller
CLT-00435,buyer
CLT-00436,buyer
CLT-00437,seller
CLT-00438,buyer
CLT-00439,seller
CLT-00440,buyer
CLT-00441,buyer
CLT-00442,seller
CLT-00443,buyer
CLT-00444,seller
CLT-00445,buyer
CLT-00446,buyer
CLT-00447,buyer
CLT-00448,buyer
CLT-00449,buyer
CLT-00450,buyer
CLT-00451,buyer
CLT-00452,seller
CLT-00453,seller
CLT-00454,buyer
CLT-00455,buyer
CLT-00456,buyer
CLT-00457,buyer
CLT-00458,buyer
CLT-00459,buyer
CLT-00460,seller
CLT-00461,seller
CLT-00462,buyer
CLT-00463,seller
CLT-00464,seller
CLT-00465,buyer
CLT-00466,buyer
CLT-00467,buyer
CLT-00468,buyer
CLT-00469,seller
CLT-00470,buyer
CLT-00471,buyer
CLT-00472,buyer
CLT-00473,seller
CLT-00474,buyer
CLT-00475,buyer
CLT-00476,seller
CLT-00477,buyer
CLT-00478,buyer
CLT-00479,seller
CLT-00480,seller
CLT-00481,buyer
CLT-00482,buyer
CLT-00483,buyer
CLT-00484,seller
CLT-00485,buyer
CLT-00486,buyer
CLT-00487,seller
CLT-00488,seller
CLT-00489,buyer
CLT-00490,buyer
CLT-00491,seller
CLT-00492,seller
CLT-00493,buyer
CLT-00494,seller
CLT-00495,seller
CLT-00496,seller
CLT-00497,buyer
CLT-00498,buyer
CLT-00499,buyer
CLT-00500,seller
CLT-00501,buyer
CLT-00502,buyer
CLT-00503,buyer
CLT-00504,buyer
CLT-00505,seller
CLT-00506,seller
CLT-00507,buyer
CLT-00508,seller
CLT-00509,buyer
CLT-00510,seller
CLT-00511,seller
CLT-00512,buyer
CLT-00513,buyer
CLT-00514,buyer
CLT-00515,buyer
CLT-00516,seller
CLT-00517,buyer
CLT-00518,seller
CLT-00519,buyer
CLT-00520,buyer
CLT-00521,seller
CLT-00522,seller
CLT-00523,buyer
CLT-00524,seller
CLT-00525,buyer
CLT-00526,seller
CLT-00527,seller
CLT-00528,seller
CLT-00529,buyer
CLT-00530,buyer
CLT-00531,seller
CLT-00532,buyer
CLT-00533,seller
CLT-00534,seller
CLT-00535,buyer
CLT-00536,buyer
CLT-00537,seller
CLT-00538,buyer
CLT-00539,buyer
CLT-00540,seller
CLT-00541,seller
CLT-00542,buyer
CLT-00543,buyer
CLT-00544,seller
CLT-00545,seller
CLT-00546,buyer
CLT-00547,seller
CLT-00548,buyer
CLT-00549,buyer
CLT-00550,buyer
CLT-00551,seller
CLT-00552,seller
CLT-00553,seller
CLT-00554,seller
CLT-00555,buyer
CLT-00556,buyer
CLT-00557,buyer
CLT-00558,seller
CLT-00559,seller
CLT-00560,seller
CLT-00561,seller
CLT-00562,seller
CLT-00563,buyer
CLT-00564,buyer
CLT-00565,buyer
CLT-00566,buyer
CLT-00567,buyer
CLT-00568,buyer
CLT-00569,buyer
CLT-00570,buyer
CLT-00571,seller
CLT-00572,buyer
CLT-00573,seller
CLT-00574,seller
CLT-00575,seller
CLT-00576,seller
CLT-00577,seller
CLT-00578,buyer
CLT-00579,buyer
CLT-00580,buyer
CLT-00581,buyer
CLT-00582,buyer
CLT-00583,buyer
CLT-00584,buyer
CLT-00585,seller
CLT-00586,buyer
CLT-00587,seller
CLT-00588,buyer
CLT-00589,seller
CLT-00590,buyer
CLT-00591,buyer
CLT-00592,seller
CLT-00593,seller
CLT-00594,seller
CLT-00595,buyer
CLT-00596,seller
CLT-00597,buyer
CLT-00598,buyer
CLT-00599,seller
CLT-00600,seller
CLT-00601,buyer
CLT-00602,buyer
CLT-00603,seller
CLT-00604,buyer
CLT-00605,buyer
CLT-00606,buyer
CLT-00607,buyer
CLT-00608,buyer
CLT-00609,buyer
CLT-00610,buyer
CLT-00611,seller
CLT-00612,buyer
CLT-00613,seller
CLT-00614,buyer
CLT-00615,buyer
CLT-00616,seller
CLT-00617,buyer
CLT-00618,seller
CLT-00619,buyer
CLT-00620,seller
CLT-00621,buyer
CLT-00622,seller
CLT-00623,seller
CLT-00624,buyer
CLT-00625,buyer
CLT-00626,seller
CLT-00627,buyer
CLT-00628,seller
CLT-00629,seller
CLT-00630,seller
CLT-00631,buyer
CLT-00632,seller
CLT-00633,buyer
CLT-00634,seller
CLT-00635,seller
CLT-00636,seller
CLT-00637,buyer
CLT-00638,seller
CLT-00639,buyer
CLT-00640,seller
CLT-00641,seller
CLT-00642,seller
CLT-00643,buyer
CLT-00644,seller
CLT-00645,buyer
CLT-00646,buyer
CLT-00647,seller
CLT-00648,buyer
CLT-00649,buyer
CLT-00650,buyer
CLT-00651,buyer
CLT-00652,seller
CLT-00653,seller
CLT-00654,buyer
CLT-00655,seller
CLT-00656,buyer
CLT-00657,seller
CLT-00658,buyer
CLT-00659,seller
CLT-00660,seller
CLT-00661,seller
CLT-00662,seller
CLT-00663,buyer
CLT-00664,seller
CLT-00665,seller
CLT-00666,buyer
CLT-00667,seller
CLT-00668,buyer
CLT-00669,buyer
CLT-00670,buyer
CLT-00671,seller
CLT-00672,seller
CLT-00673,seller
CLT-00674,buyer
CLT-00675,buyer
CLT-00676,seller
CLT-00677,seller
CLT-00678,buyer
CLT-00679,seller
CLT-00680,buyer
CLT-00681,buyer
CLT-00682,buyer
CLT-00683,buyer
CLT-00684,seller
CLT-00685,buyer
CLT-00686,seller
CLT-00687,seller
CLT-00688,buyer
CLT-00689,seller
CLT-00690,seller
CLT-00691,buyer
CLT-00692,buyer
CLT-00693,buyer
CLT-00694,buyer
CLT-00695,buyer
CLT-00696,seller
CLT-00697,seller
CLT-00698,buyer
CLT-00699,seller
CLT-00700,buyer
CLT-00701,buyer
CLT-00702,seller
CLT-00703,buyer
CLT-00704,seller
CLT-00705,seller
CLT-00706,buyer
CLT-00707,buyer
CLT-00708,buyer
CLT-00709,buyer
CLT-00710,seller
CLT-00711,buyer
CLT-00712,buyer
CLT-00713,seller
CLT-00714,buyer
CLT-00715,buyer
CLT-00716,seller
CLT-00717,buyer
CLT-00718,buyer
CLT-00719,buyer
CLT-00720,buyer
CLT-00721,buyer
CLT-00722,buyer
CLT-00723,seller
CLT-00724,buyer
CLT-00725,buyer
CLT-00726,seller
CLT-00727,seller
CLT-00728,seller
CLT-00729,buyer
CLT-00730,seller
CLT-00731,seller
CLT-00732,buyer
CLT-00733,buyer
CLT-00734,buyer
CLT-00735,buyer
CLT-00736,seller
CLT-00737,buyer
CLT-00738,buyer
CLT-00739,seller
CLT-00740,buyer
CLT-00741,buyer
CLT-00742,seller
CLT-00743,buyer
CLT-00744,buyer
CLT-00745,buyer
CLT-00746,buyer
CLT-00747,buyer
CLT-00748,buyer
CLT-00749,seller
CLT-00750,seller
CLT-00751,seller
CLT-00752,buyer
CLT-00753,buyer
CLT-00754,seller
CLT-00755,buyer
CLT-00756,seller
CLT-00757,buyer
CLT-00758,buyer
CLT-00759,buyer
CLT-00760,buyer
CLT-00761,seller
CLT-00762,seller
CLT-00763,buyer
CLT-00764,buyer
CLT-00765,buyer
CLT-00766,seller
CLT-00767,buyer
CLT-00768,buyer
CLT-00769,buyer
CLT-00770,seller
CLT-00771,seller
CLT-00772,seller
CLT-00773,seller
CLT-00774,seller
CLT-00775,seller
CLT-00776,seller
CLT-00777,seller
CLT-00778,buyer
CLT-00779,buyer
CLT-00780,seller
CLT-00781,buyer
CLT-00782,buyer
CLT-00783,seller
CLT-00784,buyer
CLT-00785,buyer
CLT-00786,seller
CLT-00787,buyer
CLT-00788,buyer
CLT-00789,buyer
CLT-00790,buyer
CLT-00791,buyer
CLT-00792,buyer
CLT-00793,buyer
CLT-00794,seller
CLT-00795,seller
CLT-00796,seller
CLT-00797,buyer
CLT-00798,seller
CLT-00799,buyer
CLT-00800,seller
CLT-00801,seller
CLT-00802,buyer
CLT-00803,buyer
CLT-00804,buyer
CLT-00805,buyer
CLT-00806,buyer
CLT-00807,buyer
CLT-00808,seller
CLT-00809,seller
CLT-00810,seller
CLT-00811,seller
CLT-00812,seller
CLT-00813,buyer
CLT-00814,buyer
CLT-00815,buyer
CLT-00816,buyer
CLT-00817,buyer
CLT-00818,seller
CLT-00819,buyer
CLT-00820,buyer
CLT-00821,seller
CLT-00822,seller
CLT-00823,buyer
CLT-00824,buyer
CLT-00825,buyer
CLT-00826,seller
CLT-00827,buyer
CLT-00828,seller
CLT-00829,seller
CLT-00830,seller
CLT-00831,seller
CLT-00832,seller
CLT-00833,buyer
CLT-00834,buyer
CLT-00835,buyer
CLT-00836,seller
CLT-00837,buyer
CLT-00838,buyer
CLT-00839,seller
CLT-00840,buyer
CLT-00841,buyer
CLT-00842,seller
CLT-00843,buyer
CLT-00844,buyer
CLT-00845,seller
CLT-00846,buyer
CLT-00847,buyer
CLT-00848,buyer
CLT-00849,seller
CLT-00850,seller
CLT-00851,seller
CLT-00852,buyer
CLT-00853,buyer
CLT-00854,seller
CLT-00855,buyer
CLT-00856,seller
CLT-00857,buyer
CLT-00858,seller
CLT-00859,buyer
CLT-00860,buyer
CLT-00861,seller
CLT-00862,seller
CLT-00863,seller
CLT-00864,seller
CLT-00865,seller
CLT-00866,seller
CLT-00867,buyer
CLT-00868,seller
CLT-00869,buyer
CLT-00870,buyer
CLT-00871,buyer
CLT-00872,buyer
CLT-00873,seller
CLT-00874,seller
CLT-00875,seller
CLT-00876,seller
CLT-00877,seller
CLT-00878,seller
CLT-00879,buyer
CLT-00880,seller
CLT-00881,seller
CLT-00882,seller
CLT-00883,seller
CLT-00884,buyer
CLT-00885,seller
CLT-00886,seller
CLT-00887,buyer
CLT-00888,buyer
CLT-00889,seller
CLT-00890,seller
CLT-00891,buyer
CLT-00892,seller
CLT-00893,buyer
CLT-00894,seller
CLT-00895,buyer
CLT-00896,buyer
CLT-00897,seller
CLT-00898,buyer
CLT-00899,buyer
CLT-00900,buyer
CLT-00901,seller
CLT-00902,buyer
CLT-00903,buyer
CLT-00904,buyer
CLT-00905,seller
CLT-00906,buyer
CLT-00907,seller
CLT-00908,seller
CLT-00909,buyer
CLT-00910,seller
CLT-00911,buyer
CLT-00912,buyer
CLT-00913,seller
CLT-00914,buyer
CLT-00915,buyer
CLT-00916,seller
CLT-00917,seller
CLT-00918,seller
CLT-00919,seller
CLT-00920,seller
CLT-00921,buyer
CLT-00922,seller
CLT-00923,seller
CLT-00924,seller
CLT-00925,seller
CLT-00926,buyer
CLT-00927,buyer
CLT-00928,buyer
CLT-00929,buyer
CLT-00930,buyer
CLT-00931,seller
CLT-00932,seller
CLT-00933,buyer
CLT-00934,buyer
CLT-00935,buyer
CLT-00936,buyer
CLT-00937,seller
CLT-00938,seller
CLT-00939,buyer
CLT-00940,seller
CLT-00941,seller
CLT-00942,seller
CLT-00943,buyer
CLT-00944,seller
CLT-00945,seller
CLT-00946,buyer
CLT-00947,buyer
CLT-00948,seller
CLT-00949,seller
CLT-00950,seller
CLT-00951,seller
CLT-00952,seller
CLT-00953,buyer
CLT-00954,seller
CLT-00955,buyer
CLT-00956,buyer
CLT-00957,seller
CLT-00958,seller
CLT-00959,buyer
CLT-00960,seller
CLT-00961,seller
CLT-00962,buyer
CLT-00963,buyer
CLT-00964,seller
CLT-00965,seller
CLT-00966,seller
CLT-00967,buyer
CLT-00968,seller
CLT-00969,buyer
CLT-00970,buyer
CLT-00971,buyer
CLT-00972,seller
CLT-00973,buyer
CLT-00974,seller
CLT-00975,buyer
CLT-00976,seller
CLT-00977,buyer
CLT-00978,seller
CLT-00979,seller
CLT-00980,seller
CLT-00981,seller
CLT-00982,seller
CLT-00983,seller
CLT-00984,buyer
CLT-00985,seller
CLT-00986,seller
CLT-00987,seller
CLT-00988,seller
CLT-00989,buyer
CLT-00990,buyer
CLT-00991,seller
CLT-00992,seller
CLT-00993,seller
CLT-00994,buyer
CLT-00995,seller
CLT-00996,seller
CLT-00997,buyer
CLT-00998,seller
CLT-00999,seller
CLT-01000,buyer
CLT-01001,seller
CLT-01002,seller
CLT-01003,buyer
CLT-01004,seller
CLT-01005,seller
CLT-01006,buyer
CLT-01007,seller
CLT-01008,buyer
CLT-01009,buyer
CLT-01010,seller
CLT-01011,seller
CLT-01012,buyer
CLT-01013,buyer
CLT-01014,buyer
CLT-01015,seller
CLT-01016,seller
CLT-01017,seller
CLT-01018,buyer
CLT-01019,buyer
CLT-01020,seller
CLT-01021,buyer
CLT-01022,seller
CLT-01023,buyer
CLT-01024,seller
CLT-01025,seller
CLT-01026,buyer
CLT-01027,seller
CLT-01028,seller
CLT-01029,seller
CLT-01030,buyer
CLT-01031,seller
CLT-01032,buyer
CLT-01033,seller
CLT-01034,seller
CLT-01035,buyer
CLT-01036,buyer
CLT-01037,buyer
CLT-01038,seller
CLT-01039,seller
CLT-01040,buyer
CLT-01041,seller
CLT-01042,seller
CLT-01043,seller
CLT-01044,seller
CLT-01045,buyer
CLT-01046,buyer
CLT-01047,buyer
CLT-01048,buyer
CLT-01049,buyer
CLT-01050,seller
CLT-01051,buyer
CLT-01052,seller
CLT-01053,buyer
CLT-01054,buyer
CLT-01055,buyer
CLT-01056,buyer
CLT-01057,buyer
CLT-01058,buyer
CLT-01059,seller
CLT-01060,seller
CLT-01061,buyer
CLT-01062,seller
CLT-01063,seller
CLT-01064,seller
CLT-01065,buyer
CLT-01066,seller
CLT-01067,seller
CLT-01068,buyer
CLT-01069,buyer
CLT-01070,seller
CLT-01071,buyer
CLT-01072,seller
CLT-01073,seller
CLT-01074,seller
CLT-01075,seller
CLT-01076,seller
CLT-01077,buyer
CLT-01078,buyer
CLT-01079,seller
CLT-01080,seller
CLT-01081,buyer
CLT-01082,buyer
CLT-01083,buyer
CLT-01084,buyer
CLT-01085,buyer
CLT-01086,buyer
CLT-01087,seller
CLT-01088,seller
CLT-01089,seller
CLT-01090,buyer
CLT-01091,buyer
CLT-01092,buyer
CLT-01093,buyer
CLT-01094,seller
CLT-01095,seller
CLT-01096,buyer
CLT-01097,buyer
CLT-01098,seller
CLT-01099,buyer
CLT-01100,buyer
CLT-01101,seller
CLT-01102,seller
CLT-01103,seller
CLT-01104,seller
CLT-01105,seller
CLT-01106,buyer
CLT-01107,seller
CLT-01108,buyer
CLT-01109,buyer
CLT-01110,buyer
CLT-01111,seller
CLT-01112,seller
CLT-01113,seller
CLT-01114,seller
CLT-01115,buyer
CLT-01116,seller
CLT-01117,seller
CLT-01118,buyer
CLT-01119,seller
CLT-01120,seller
CLT-01121,seller
CLT-01122,buyer
CLT-01123,seller
CLT-01124,seller
CLT-01125,buyer
CLT-01126,buyer
CLT-01127,buyer
CLT-01128,seller
CLT-01129,buyer
CLT-01130,buyer
CLT-01131,buyer
CLT-01132,buyer
CLT-01133,seller
CLT-01134,buyer
CLT-01135,buyer
CLT-01136,seller
CLT-01137,buyer
CLT-01138,buyer
CLT-01139,buyer
CLT-01140,seller
CLT-01141,buyer
CLT-01142,buyer
CLT-01143,buyer
CLT-01144,seller
CLT-01145,seller
CLT-01146,buyer
CLT-01147,buyer
CLT-01148,buyer
CLT-01149,buyer
CLT-01150,seller
CLT-01151,buyer
CLT-01152,seller
CLT-01153,seller
CLT-01154,seller
CLT-01155,seller
CLT-01156,buyer
CLT-01157,seller
CLT-01158,seller
CLT-01159,seller
CLT-01160,seller
CLT-01161,seller
CLT-01162,seller
CLT-01163,seller
CLT-01164,buyer
CLT-01165,buyer
CLT-01166,buyer
CLT-01167,seller
CLT-01168,buyer
CLT-01169,buyer
CLT-01170,seller
CLT-01171,buyer
CLT-01172,buyer
CLT-01173,seller
CLT-01174,seller
CLT-01175,buyer
CLT-01176,seller
CLT-01177,buyer
CLT-01178,buyer
CLT-01179,seller
CLT-01180,buyer
CLT-01181,seller
CLT-01182,seller
CLT-01183,seller
CLT-01184,seller
CLT-01185,buyer
CLT-01186,buyer
CLT-01187,buyer
CLT-01188,seller
CLT-01189,seller
CLT-01190,buyer
CLT-01191,seller
CLT-01192,buyer
CLT-01193,seller
CLT-01194,buyer
CLT-01195,buyer
CLT-01196,seller
CLT-01197,seller
CLT-01198,buyer
CLT-01199,buyer
CLT-01200,buyer
CLT-01201,buyer
CLT-01202,seller
CLT-01203,buyer
CLT-01204,seller
CLT-01205,seller
CLT-01206,seller
CLT-01207,buyer
CLT-01208,seller
CLT-01209,seller
CLT-01210,buyer
CLT-01211,seller
CLT-01212,seller
CLT-01213,seller
CLT-01214,buyer
CLT-01215,buyer
CLT-01216,buyer
CLT-01217,seller
CLT-01218,buyer
CLT-01219,seller
CLT-01220,buyer
CLT-01221,buyer
CLT-01222,seller
CLT-01223,buyer
CLT-01224,seller
CLT-01225,buyer
CLT-01226,seller
CLT-01227,seller
CLT-01228,buyer
CLT-01229,seller
CLT-01230,seller
CLT-01231,seller
CLT-01232,seller
CLT-01233,seller
CLT-01234,buyer
CLT-01235,buyer
CLT-01236,buyer
CLT-01237,seller
CLT-01238,buyer
CLT-01239,seller
CLT-01240,buyer
CLT-01241,seller
CLT-01242,seller
CLT-01243,seller
CLT-01244,seller
CLT-01245,seller
CLT-01246,buyer
CLT-01247,seller
CLT-01248,buyer
CLT-01249,seller
CLT-01250,buyer
CLT-01251,seller
CLT-01252,seller
CLT-01253,buyer
CLT-01254,buyer
CLT-01255,seller
CLT-01256,buyer
CLT-01257,seller
CLT-01258,buyer
CLT-01259,seller
CLT-01260,seller
CLT-01261,buyer
CLT-01262,seller
CLT-01263,seller
CLT-01264,seller
CLT-01265,seller
CLT-01266,buyer
CLT-01267,buyer
CLT-01268,seller
CLT-01269,seller
CLT-01270,seller
CLT-01271,buyer
CLT-01272,buyer
CLT-01273,buyer
CLT-01274,seller
CLT-01275,buyer
CLT-01276,seller
CLT-01277,seller
CLT-01278,seller
CLT-01279,seller
CLT-01280,buyer
CLT-01281,seller
CLT-01282,seller
CLT-01283,seller
CLT-01284,buyer
CLT-01285,buyer
CLT-01286,seller
CLT-01287,buyer
CLT-01288,seller
CLT-01289,seller
CLT-01290,seller
CLT-01291,seller
CLT-01292,seller
CLT-01293,seller
CLT-01294,seller
CLT-01295,seller
CLT-01296,seller
CLT-01297,seller
CLT-01298,buyer
CLT-01299,buyer
CLT-01300,buyer
CLT-01301,seller
CLT-01302,buyer
CLT-01303,seller
CLT-01304,seller
CLT-01305,seller
CLT-01306,seller
CLT-01307,seller
CLT-01308,seller
CLT-01309,buyer
CLT-01310,buyer
CLT-01311,buyer
CLT-01312,buyer
CLT-01313,buyer
CLT-01314,seller
CLT-01315,buyer
CLT-01316,buyer
CLT-01317,seller
CLT-01318,buyer
CLT-01319,seller
CLT-01320,buyer
CLT-01321,seller
CLT-01322,buyer
CLT-01323,buyer
CLT-01324,seller
CLT-01325,seller
CLT-01326,buyer
CLT-01327,seller
CLT-01328,seller
CLT-01329,seller
CLT-01330,buyer
CLT-01331,seller
