property_id,address,city,state,zip,latitude,longitude,type,beds,list_price
PRP-00042,6488 Mason Mount,Marietta,GA,30101,34.0282,-84.5265,condo,6.0,197001
PRP-00043,5400 Brian Drive,Huntersville,NC,27038,35.4537,-80.7909,land,,226469
PRP-00044,08119 Hernandez Roads Apt. 772,Brentwood,TN,37550,36.0797,-86.8396,single_family,3.0,198647
PRP-00045,039 Brown Summit,Nashville,TN,37779,36.1397,-86.7502,single_family,3.0,476242
PRP-00046,228 Taylor Manor Apt. 521,Brentwood,TN,37625,36.0783,-86.8559,single_family,4.0,255817
PRP-00047,2959 Freeman Unions Suite 492,Nashville,TN,38196,36.2316,-86.8139,single_family,6.0,454030
PRP-00048,93069 Denise Forges Suite 172,Huntersville,NC,27090,35.3501,-80.8047,condo,2.0,188954
PRP-00049,384 Alvarado Well,Brentwood,TN,37021,36.0123,-86.7024,condo,1.0,520679
PRP-00050,7359 Brown Garden,Franklin,TN,37092,35.8986,-86.9105,land,,380196
PRP-00051,34053 Christopher Ports Suite 378,Brentwood,TN,38367,36.0787,-86.8559,condo,3.0,230825
PRP-00052,4970 Michael Walk Apt. 676,Atlanta,GA,30640,33.8271,-84.4132,multi_family,1.0,999813
PRP-00053,841 Mark Centers,Brookhaven,GA,31103,33.7889,-84.253,single_family,3.0,171386
PRP-00054,15853 Howell Loop,Sandy Springs,GA,30223,33.907,-84.3065,single_family,3.0,285684
PRP-00055,67350 Harper Mission,Huntersville,NC,27293,35.4042,-80.867,single_family,2.0,271949
PRP-00056,121 Chelsey Ranch,Sandy Springs,GA,31084,33.8578,-84.3648,land,,274624
PRP-00057,86099 John Hills,East Point,GA,30225,33.7442,-84.3973,condo,6.0,245326
PRP-00058,0764 Nancy Forest,Atlanta,GA,30731,33.6789,-84.3214,single_family,5.0,227645
PRP-00059,8977 Flynn Underpass Apt. 402,Nashville,TN,38203,36.2349,-86.8487,townhouse,6.0,296856
PRP-00060,025 Nathan Prairie,Sandy Springs,GA,30785,33.8673,-84.3788,condo,2.0,334609
PRP-00061,0054 Lopez Field,Franklin,TN,38417,35.8748,-86.8315,single_family,1.0,334410
PRP-00062,626 Smith Glen,Decatur,GA,31788,33.7181,-84.3175,single_family,2.0,249243
PRP-00063,636 Williams Centers,Charlotte,NC,27061,35.2502,-80.819,single_family,6.0,327470
PRP-00064,90120 Jones Shoal Suite 715,Sandy Springs,GA,30540,33.8967,-84.4372,condo,2.0,302688
PRP-00065,4497 Shelton Via Apt. 326,Matthews,NC,27220,35.184,-80.6712,single_family,3.0,236888
PRP-00066,79025 Mitchell Key Suite 949,Huntersville,NC,28751,35.4186,-80.9161,condo,3.0,626901
PRP-00067,76737 Javier Manors Apt. 699,Huntersville,NC,28424,35.4085,-80.9089,townhouse,6.0,225251
PRP-00068,9927 Ruth Parks Apt. 434,East Point,GA,30151,33.6718,-84.4698,single_family,2.0,818925
PRP-00069,69284 Miller Throughway Apt. 006,Marietta,GA,31129,33.8772,-84.5159,single_family,5.0,449510
PRP-00070,224 Mendoza Locks,Sandy Springs,GA,31410,33.8639,-84.4223,single_family,5.0,179019
PRP-00071,38458 William Rapids,East Point,GA,30041,33.6911,-84.3642,single_family,3.0,150000
PRP-00072,8666 Estrada Prairie,Franklin,TN,37393,35.9538,-86.8978,single_family,6.0,248788
PRP-00073,7796 Welch Cliff,Nashville,TN,37502,36.2004,-86.8033,single_family,6.0,328619
PRP-00074,9577 Graham Skyway Suite 640,Huntersville,NC,27553,35.4048,-80.8721,single_family,5.0,442768
PRP-00075,140 Schwartz Rue,Brookhaven,GA,30620,33.7981,-84.3213,single_family,3.0,207748
PRP-00076,5215 Norman Wells Apt. 044,Tucker,GA,31288,33.8551,-84.1923,townhouse,1.0,192220
PRP-00077,094 Christopher Squares,East Point,GA,31574,33.7349,-84.3559,townhouse,2.0,279442
PRP-00078,312 Lisa Walk Apt. 934,Tucker,GA,30543,33.94,-84.2119,single_family,2.0,851772
PRP-00079,864 Kelly Pass,Matthews,NC,28708,35.1122,-80.6593,single_family,3.0,308948
PRP-00080,3761 Tyler Cove,Nashville,TN,38342,36.2173,-86.8265,townhouse,2.0,298825
PRP-00081,4502 Adams Row Apt. 245,Brentwood,TN,37797,36.0353,-86.7488,single_family,3.0,501592
PRP-00082,8608 Huff Point Suite 227,Brentwood,TN,38576,36.1029,-86.7391,condo,6.0,394779
PRP-00083,7763 Fletcher Glen,Brookhaven,GA,30027,33.773,-84.3354,condo,1.0,376201
PRP-00084,60321 Miller Causeway,Franklin,TN,37024,35.8701,-86.823,single_family,5.0,159824
PRP-00085,24808 Leblanc Glens Suite 039,Atlanta,GA,31183,33.7123,-84.3132,single_family,1.0,308978
PRP-00086,0830 Michael Square,Atlanta,GA,31006,33.7322,-84.4338,single_family,2.0,463409
PRP-00087,27618 William Heights,Tucker,GA,30952,33.9147,-84.1988,single_family,2.0,468235
PRP-00088,963 Heather Station Apt. 992,Sandy Springs,GA,31255,33.9378,-84.3849,townhouse,1.0,253505
PRP-00089,525 Robinson Trafficway,Nashville,TN,37504,36.1532,-86.7805,single_family,6.0,195194
PRP-00090,06770 Moore Mountain,Brentwood,TN,37482,36.0594,-86.7353,single_family,5.0,334570
PRP-00091,273 Adams Crossing,Franklin,TN,37664,36.0024,-86.8251,single_family,6.0,191035
PRP-00092,2448 Matthew Lock,Atlanta,GA,30080,33.8199,-84.3637,single_family,5.0,372007
PRP-00093,43211 Gonzales Villages,Atlanta,GA,30216,33.7077,-84.3243,single_family,6.0,315423
PRP-00094,115 Brianna Expressway,Brookhaven,GA,30010,33.9009,-84.3233,townhouse,6.0,280290
PRP-00095,7997 Julie Island,Franklin,TN,37382,35.8765,-86.9051,condo,3.0,286769
PRP-00096,30094 Amy Turnpike Apt. 770,Charlotte,NC,27468,35.2685,-80.8607,townhouse,4.0,218348
PRP-00097,95461 Raymond Pine,Decatur,GA,31821,33.757,-84.2204,single_family,5.0,278650
PRP-00098,48654 Williams Summit,Matthews,NC,27352,35.0493,-80.6553,condo,2.0,273275
PRP-00099,4059 Joseph Villages Apt. 493,Nashville,TN,38054,36.2399,-86.8177,condo,2.0,292616
PRP-00100,75877 Derek Key Apt. 228,Tucker,GA,30579,33.9527,-84.2081,condo,5.0,348102
PRP-00101,362 Savage Stream Apt. 781,Sandy Springs,GA,31306,33.8739,-84.4235,single_family,3.0,440011
PRP-00102,26675 Leslie Path Apt. 298,Brentwood,TN,38138,35.9618,-86.8341,townhouse,5.0,529150
PRP-00103,687 Henderson Plains Suite 551,Decatur,GA,31972,33.8086,-84.2842,single_family,6.0,182224
PRP-00104,27718 Massey Landing Apt. 296,Matthews,NC,28651,35.1245,-80.77,single_family,6.0,382364
PRP-00105,51462 Sarah Ville,Matthews,NC,28875,35.1632,-80.8027,single_family,6.0,150000
PRP-00106,15018 Sanders Square,Charlotte,NC,27500,35.2792,-80.9058,single_family,4.0,302877
PRP-00107,21273 Susan Pass,East Point,GA,31909,33.6301,-84.491,condo,1.0,245013
PRP-00108,4333 Prince Forge Apt. 536,Brookhaven,GA,31348,33.8071,-84.3248,single_family,6.0,262537
PRP-00109,4747 Julie Centers Apt. 925,East Point,GA,31756,33.7155,-84.4569,single_family,6.0,317925
PRP-00110,2807 Phillips Estates,Decatur,GA,30397,33.846,-84.3585,multi_family,5.0,503582
PRP-00111,486 Joyce Curve Suite 910,Brookhaven,GA,31687,33.8697,-84.3222,single_family,4.0,344104
PRP-00112,28574 Daniel Terrace Suite 326,Matthews,NC,27912,35.0803,-80.7178,single_family,1.0,160445
PRP-00113,769 Howard Island,Brookhaven,GA,31503,33.8708,-84.3125,single_family,4.0,266379
PRP-00114,21751 May Row Suite 528,East Point,GA,30817,33.6859,-84.4535,single_family,6.0,157179
PRP-00115,162 Evan Extensions Apt. 373,Matthews,NC,28615,35.1605,-80.6496,single_family,3.0,396629
PRP-00116,6279 Melinda Flat Suite 218,Brookhaven,GA,31518,33.8423,-84.3487,multi_family,2.0,1138291
PRP-00117,95286 Emily Loop,Matthews,NC,27592,35.0619,-80.7016,single_family,6.0,303090
PRP-00118,310 Kristopher Road Apt. 524,Decatur,GA,31480,33.7078,-84.2547,condo,2.0,421229
PRP-00119,5983 Donald Groves Suite 893,Sandy Springs,GA,30253,33.9459,-84.3818,single_family,4.0,361486
PRP-00120,8475 Kenneth Pike,Brookhaven,GA,31052,33.8644,-84.2812,single_family,3.0,372926
PRP-00121,7725 Hurley Squares,Brookhaven,GA,31834,33.8316,-84.2769,single_family,2.0,310379
PRP-00122,9624 Lacey Forges,Brookhaven,GA,31027,33.7716,-84.2426,single_family,1.0,370151
PRP-00123,579 Kara Overpass,Sandy Springs,GA,30118,33.986,-84.3054,townhouse,6.0,353654
PRP-00124,2952 Rebecca Street Apt. 245,Atlanta,GA,31090,33.7849,-84.3979,townhouse,1.0,518787
PRP-00125,7989 Rachel Pass,Huntersville,NC,27936,35.3365,-80.7832,single_family,1.0,248173
PRP-00126,552 Michael Lock,Marietta,GA,30714,33.9014,-84.552,single_family,4.0,494140
PRP-00127,29720 Russell Track,Tucker,GA,30304,33.9021,-84.2337,condo,5.0,265969
PRP-00128,281 Nicole Keys,Charlotte,NC,27015,35.2354,-80.833,single_family,3.0,230859
PRP-00129,62680 Franklin Union,Franklin,TN,37233,35.9203,-86.8805,condo,3.0,150000
PRP-00130,44942 Allison Park,Sandy Springs,GA,31015,33.87,-84.3523,single_family,4.0,259873
PRP-00131,07465 William Camp Apt. 699,Franklin,TN,37672,35.9037,-86.8918,land,,289254
PRP-00132,73772 Martinez Springs Apt. 754,Tucker,GA,31238,33.8792,-84.1935,single_family,1.0,163561
PRP-00133,6138 Blackwell Islands Suite 766,Brookhaven,GA,31269,33.8594,-84.3954,townhouse,4.0,219917
PRP-00134,79477 Moran Pine Suite 605,Atlanta,GA,31955,33.7334,-84.3568,single_family,1.0,165966
PRP-00135,19898 Fowler Ridge,Brookhaven,GA,31608,33.8906,-84.2422,single_family,5.0,217731
PRP-00136,797 Cortez Freeway Suite 775,Huntersville,NC,27764,35.3861,-80.8707,single_family,3.0,244156
PRP-00137,1286 Sparks Square Suite 930,Nashville,TN,38452,36.1389,-86.7597,single_family,3.0,261566
PRP-00138,2059 Clark Square,Nashville,TN,37905,36.2412,-86.7292,condo,6.0,177000
PRP-00139,612 Fleming Plaza,Franklin,TN,37714,35.9994,-86.7968,single_family,6.0,366896
PRP-00140,5850 Bender Circles,Tucker,GA,30490,33.9043,-84.2398,single_family,2.0,184883
PRP-00141,8549 Jones Road,Charlotte,NC,27205,35.1757,-80.7756,single_family,4.0,342768
PRP-00142,1647 Ashley Trafficway,Tucker,GA,30586,33.8927,-84.1637,single_family,4.0,283210
PRP-00143,741 Ortiz Harbors,Matthews,NC,27454,35.1715,-80.6606,single_family,1.0,166274
PRP-00144,965 Lisa Pike Apt. 134,Huntersville,NC,27836,35.3509,-80.8781,single_family,5.0,296880
PRP-00145,94043 Courtney Green,Brentwood,TN,38302,36.0866,-86.7142,condo,2.0,338403
PRP-00146,740 Preston Throughway Suite 901,Sandy Springs,GA,31545,33.9413,-84.3099,single_family,5.0,250340
PRP-00147,96169 Paul Falls Apt. 288,Brentwood,TN,37045,36.0787,-86.8339,single_family,2.0,411668
PRP-00148,414 Trevor Forge Suite 147,Sandy Springs,GA,31291,33.9677,-84.3782,single_family,1.0,150000
PRP-00149,894 Linda Centers Apt. 588,Charlotte,NC,28495,35.1625,-80.7915,single_family,6.0,156295
PRP-00150,26044 Cassandra Station Suite 348,Matthews,NC,27122,35.0506,-80.6454,single_family,4.0,295269
PRP-00151,40971 Mcconnell Loop Suite 339,Decatur,GA,31323,33.8498,-84.2455,condo,6.0,233381
PRP-00152,6746 Michael Villages Suite 639,Franklin,TN,37657,35.8717,-86.8282,condo,5.0,297208
PRP-00153,67432 James Flats Apt. 913,Charlotte,NC,28716,35.258,-80.8002,single_family,1.0,409048
PRP-00154,849 Gabriela Loop Suite 515,East Point,GA,30998,33.6122,-84.4544,single_family,3.0,187695
PRP-00155,097 Amber Dale Suite 109,Tucker,GA,30235,33.925,-84.2869,single_family,2.0,221294
PRP-00156,45458 Phillips Meadow,Sandy Springs,GA,31225,33.8635,-84.3696,condo,1.0,175985
PRP-00157,42584 Mays Road Apt. 087,Atlanta,GA,31225,33.7646,-84.4443,single_family,4.0,205433
PRP-00158,721 Kyle Keys,Marietta,GA,30139,33.952,-84.5831,single_family,5.0,186556
PRP-00159,476 Lee Field Suite 339,Tucker,GA,30280,33.8703,-84.2561,single_family,4.0,440665
PRP-00160,320 Ponce Walks Apt. 950,Nashville,TN,37932,36.086,-86.8204,single_family,6.0,292652
PRP-00161,52103 Christian Bypass,Matthews,NC,27906,35.0859,-80.7904,condo,6.0,543043
PRP-00162,167 Jackson Centers Apt. 114,Brookhaven,GA,30742,33.7782,-84.2765,single_family,5.0,222509
PRP-00163,518 Cummings Landing Suite 473,Huntersville,NC,27410,35.3411,-80.7977,single_family,3.0,201673
PRP-00164,0822 Sarah Forges Apt. 203,Atlanta,GA,31453,33.7103,-84.4311,single_family,3.0,249451
PRP-00165,00240 Eric Pines Suite 130,Atlanta,GA,30444,33.7091,-84.4186,condo,1.0,289587
PRP-00166,9637 Wilson Knolls Apt. 582,East Point,GA,30691,33.6362,-84.4801,condo,3.0,192147
PRP-00167,9492 Troy Cove Suite 821,Matthews,NC,28224,35.0671,-80.7958,condo,3.0,191999
PRP-00168,213 Douglas Greens Suite 376,Sandy Springs,GA,31417,33.8988,-84.3456,single_family,5.0,205688
PRP-00169,206 Porter Square,Huntersville,NC,27476,35.3943,-80.7879,single_family,5.0,353769
PRP-00170,34464 Miller Green,Tucker,GA,30821,33.9688,-84.1717,single_family,4.0,274855
PRP-00171,603 Sara Prairie,Nashville,TN,37616,36.1235,-86.729,single_family,1.0,366649
PRP-00172,31557 Huff Lock,Nashville,TN,37496,36.1434,-86.8033,single_family,2.0,266826
PRP-00173,6226 Church Parks,Brookhaven,GA,31006,33.7541,-84.2452,townhouse,6.0,271716
PRP-00174,05747 Barnes Rapid Suite 212,Brookhaven,GA,31598,33.861,-84.3336,single_family,5.0,275718
PRP-00175,747 Michael Mountain,Atlanta,GA,30848,33.7776,-84.3917,condo,3.0,247297
PRP-00176,17783 Derek Stream Suite 504,Marietta,GA,30076,34.0313,-84.5916,single_family,5.0,274512
PRP-00177,0488 John Trafficway,Decatur,GA,30738,33.7209,-84.2648,multi_family,3.0,527109
PRP-00178,893 Crawford Gateway,Brookhaven,GA,31643,33.8529,-84.3423,single_family,6.0,162746
PRP-00179,50835 Hernandez Forge,Huntersville,NC,28475,35.4197,-80.8665,single_family,5.0,179673
PRP-00180,907 Mcgee Junction,Sandy Springs,GA,30989,33.9129,-84.2928,multi_family,5.0,618485
PRP-00181,095 Leonard Brook,Decatur,GA,30206,33.7495,-84.232,land,,223391
PRP-00182,17079 Ayala Court,Brookhaven,GA,31161,33.8757,-84.3358,single_family,2.0,343441
PRP-00183,4966 Jessica Manors Apt. 849,Atlanta,GA,30843,33.7118,-84.4378,condo,6.0,150000
PRP-00184,60351 Gregory Valleys,Nashville,TN,37919,36.2302,-86.7526,townhouse,3.0,351027
PRP-00185,51125 Patel Neck Apt. 041,Nashville,TN,37024,36.2294,-86.7517,single_family,3.0,375899
PRP-00186,17102 Romero Garden,Sandy Springs,GA,30818,33.9618,-84.4172,single_family,2.0,366748
PRP-00187,355 Le Parkways Suite 934,Sandy Springs,GA,30864,33.8679,-84.4123,condo,5.0,375684
PRP-00188,655 Darren Park,Decatur,GA,30447,33.7986,-84.304,single_family,5.0,438142
PRP-00189,68632 Gavin Ridge,Huntersville,NC,28460,35.3516,-80.9163,single_family,3.0,252407
PRP-00190,298 Warren Spurs Apt. 327,Brookhaven,GA,30245,33.7816,-84.2998,single_family,6.0,254196
PRP-00191,3601 Cole Drives,Nashville,TN,38227,36.1473,-86.7568,single_family,6.0,418807
PRP-00192,889 Kathleen Viaduct Apt. 687,East Point,GA,31588,33.7099,-84.4689,single_family,1.0,233492
PRP-00193,407 Lopez Loaf Apt. 847,Huntersville,NC,27426,35.373,-80.8924,condo,6.0,315781
PRP-00194,49734 Smith Expressway Suite 232,Brentwood,TN,37232,35.9861,-86.708,single_family,6.0,154873
PRP-00195,62933 Allen Ramp Apt. 900,Huntersville,NC,27423,35.4219,-80.7816,single_family,2.0,285563
PRP-00196,6625 Hale Squares Apt. 449,Brookhaven,GA,30699,33.8647,-84.3909,condo,5.0,428136
PRP-00197,855 Joy Prairie Suite 708,East Point,GA,31943,33.6717,-84.4427,single_family,1.0,306283
PRP-00198,414 Anthony Crest,Charlotte,NC,27493,35.2115,-80.8893,single_family,4.0,253259
PRP-00199,211 Bentley Parks Apt. 579,East Point,GA,31052,33.7342,-84.4703,townhouse,4.0,616111
PRP-00200,9768 Neil Glen Suite 297,Charlotte,NC,28346,35.2312,-80.8506,single_family,6.0,312731
PRP-00201,80159 Warner Path Apt. 179,Brookhaven,GA,30971,33.841,-84.261,condo,3.0,335338
PRP-00202,29644 Johnson Tunnel Apt. 736,Atlanta,GA,31795,33.7426,-84.3629,multi_family,4.0,1170560
PRP-00203,8588 Tony Loaf,Franklin,TN,37656,35.9702,-86.8765,single_family,1.0,312476
PRP-00204,1148 Hanson Fort,Atlanta,GA,30702,33.699,-84.3463,single_family,2.0,377776
PRP-00205,4063 Robert Passage,Brentwood,TN,38205,36.0144,-86.7074,single_family,6.0,313249
PRP-00206,18775 Edward Court,Huntersville,NC,27153,35.4545,-80.8142,townhouse,3.0,166478
PRP-00207,95638 Jimenez Ways Suite 458,Huntersville,NC,27871,35.4839,-80.8832,condo,6.0,510366
PRP-00208,5737 King Garden,Tucker,GA,30778,33.9159,-84.2841,multi_family,3.0,430988
PRP-00209,7799 Shelley Mountains,Brookhaven,GA,30957,33.8755,-84.3811,single_family,5.0,319349
PRP-00210,23961 Angela Isle Apt. 760,East Point,GA,30784,33.6484,-84.3686,single_family,4.0,267389
PRP-00211,582 Caroline Ridge,Franklin,TN,38306,35.9543,-86.8254,single_family,6.0,176082
PRP-00212,9270 Miller Path,Atlanta,GA,30585,33.7218,-84.3676,land,,261358
PRP-00213,4164 David Stravenue Apt. 816,East Point,GA,31582,33.7589,-84.3623,single_family,5.0,592519
PRP-00214,09479 Wright Crescent,Marietta,GA,30998,34.0226,-84.5999,single_family,2.0,283082
PRP-00215,82850 Kathryn Drives Apt. 783,East Point,GA,30172,33.6345,-84.4593,single_family,3.0,314592
PRP-00216,3695 Kelly Station,Decatur,GA,31745,33.7202,-84.3549,single_family,3.0,389396
PRP-00217,03035 Hicks Route,Atlanta,GA,31957,33.7627,-84.3836,condo,1.0,270239
PRP-00218,437 Ford Prairie Apt. 400,Matthews,NC,27525,35.1712,-80.6978,townhouse,1.0,257534
PRP-00219,68172 Megan Via Suite 052,Brookhaven,GA,30635,33.812,-84.328,single_family,2.0,380941
PRP-00220,24130 Joseph Court,Nashville,TN,37800,36.2092,-86.7727,single_family,6.0,767047
PRP-00221,940 Wells Street,Brentwood,TN,37141,36.0503,-86.7695,townhouse,1.0,395143
PRP-00222,0238 Howard Creek Apt. 003,Tucker,GA,30878,33.8615,-84.1503,condo,2.0,399837
PRP-00223,9031 Johnson Ford Suite 553,Charlotte,NC,28330,35.2988,-80.7906,single_family,3.0,251186
PRP-00224,2988 Peter Squares,Charlotte,NC,28733,35.2418,-80.8965,single_family,3.0,367279
PRP-00225,7073 Weber Flats,Atlanta,GA,30180,33.6964,-84.3434,condo,3.0,344914
PRP-00226,17113 Boyd Coves Apt. 488,East Point,GA,31580,33.6138,-84.4684,single_family,6.0,399473
PRP-00227,152 Riley Overpass Apt. 863,Sandy Springs,GA,31926,33.874,-84.4345,condo,5.0,236018
PRP-00228,36779 Randolph Ports Suite 765,Brookhaven,GA,30424,33.9096,-84.305,single_family,5.0,379354
PRP-00229,6118 Christopher Flat,Nashville,TN,38524,36.2054,-86.7167,single_family,6.0,299827
PRP-00230,27748 Lloyd Roads Apt. 874,Tucker,GA,31734,33.8952,-84.2524,single_family,1.0,289988
PRP-00231,0380 Jeffrey Ways,Decatur,GA,30652,33.7967,-84.2459,single_family,2.0,331375
PRP-00232,8784 Martin Flats Apt. 112,Charlotte,NC,27042,35.2675,-80.8927,single_family,2.0,244191
PRP-00233,8682 Sabrina Ports Suite 569,Brookhaven,GA,30071,33.8108,-84.3702,condo,4.0,354290
PRP-00234,0741 Sara Ridge Suite 903,Huntersville,NC,27272,35.3682,-80.8506,single_family,2.0,207307
PRP-00235,210 Day Stravenue,Marietta,GA,30263,33.9686,-84.5409,single_family,4.0,193519
PRP-00236,8516 Bradley Park Apt. 204,Marietta,GA,30849,33.9164,-84.5793,single_family,6.0,299369
PRP-00237,117 Audrey Road,Marietta,GA,30776,33.8924,-84.5014,single_family,3.0,150000
PRP-00238,5667 Becky Manor Suite 023,Brentwood,TN,37015,36.0048,-86.7202,single_family,3.0,383806
PRP-00239,5088 Walsh Ways Apt. 680,East Point,GA,31032,33.6637,-84.4905,single_family,1.0,254483
PRP-00240,7111 Phillip Track Suite 551,Brookhaven,GA,30205,33.7952,-84.2698,townhouse,1.0,340886
PRP-00241,5848 Norman Summit,Sandy Springs,GA,30654,33.8791,-84.3239,single_family,6.0,357072
PRP-00242,4493 Myers Highway Suite 348,Nashville,TN,37090,36.2353,-86.7638,townhouse,2.0,150000
PRP-00243,62595 Brian Parkway Suite 623,Decatur,GA,30176,33.8216,-84.3682,single_family,3.0,730650
PRP-00244,54105 Michael Row,Charlotte,NC,27960,35.1477,-80.8368,townhouse,2.0,306026
PRP-00245,387 Sparks Landing,Sandy Springs,GA,30165,33.9894,-84.3619,single_family,4.0,238231
PRP-00246,0006 Bryan Ports Suite 968,Brentwood,TN,38356,36.0016,-86.8227,townhouse,1.0,186120
PRP-00247,8968 Harris Estates,Marietta,GA,30520,34.0195,-84.5224,single_family,1.0,185737
PRP-00248,5458 Katie Ridges,Atlanta,GA,30703,33.8229,-84.3382,single_family,2.0,209977
PRP-00249,01125 Schroeder Trace,Brookhaven,GA,31072,33.8458,-84.3633,condo,5.0,199235
PRP-00250,3181 Johnson Parkways,Tucker,GA,30615,33.8798,-84.1582,townhouse,5.0,299754
PRP-00251,081 Jackson Parkway,Charlotte,NC,28264,35.2049,-80.8465,single_family,1.0,189351
PRP-00252,457 Sanchez Meadow,Tucker,GA,30201,33.9331,-84.2795,single_family,5.0,495405
PRP-00253,488 Stacey Freeway Apt. 403,Decatur,GA,30489,33.7317,-84.3182,land,,203139
PRP-00254,99589 Smith Shoal,East Point,GA,30099,33.6293,-84.4381,condo,4.0,530307
PRP-00255,03511 Colleen Isle,Sandy Springs,GA,31469,33.908,-84.3385,single_family,4.0,291627
PRP-00256,0613 Sabrina Curve,Marietta,GA,31367,33.8935,-84.4824,townhouse,4.0,224474
PRP-00257,423 Bobby Club Suite 714,Decatur,GA,30604,33.7624,-84.3612,multi_family,1.0,983173
PRP-00258,341 Brown Freeway,Tucker,GA,30842,33.9561,-84.1657,single_family,3.0,185918
PRP-00259,804 Schmitt Street Apt. 910,Brentwood,TN,37301,36.1066,-86.7774,condo,4.0,247973
PRP-00260,142 Young Groves,Brookhaven,GA,30054,33.8363,-84.2532,single_family,3.0,419470
PRP-00261,01585 Stokes Fields Apt. 479,Tucker,GA,30988,33.8956,-84.2406,townhouse,6.0,390501
